tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-804,Charleston,Clay,64,P,20230403,297,202468,1,,Jessica Pegula,R,170,USA,29.1,211651,12,,Paula Badosa,R,180,ESP,25.3,6-3 7-6(6),3,QF,101,1,3,68,44,35,11,11,0,1,3,5,73,47,27,15,10,1,3,3,5605,33,1283
2023-804,Charleston,Clay,64,P,20230403,296,202505,4,,Belinda Bencic,R,175,SUI,26.0,206420,7,,Ekaterina Alexandrova,R,175,RUS,28.3,6-3 6-3,3,QF,79,3,2,52,35,27,7,9,0,2,5,6,63,34,20,9,9,7,12,11,3035,17,2185
2023-804,Charleston,Clay,64,P,20230403,295,214082,3,,Daria Kasatkina,R,170,RUS,25.9,201619,9,,Madison Keys,R,178,USA,28.1,6-7(5) 6-4 6-2,3,QF,153,0,4,104,84,51,4,15,6,13,2,0,114,73,38,15,15,14,24,8,3375,22,1707
2023-804,Charleston,Clay,64,P,20230403,294,202460,2,,Ons Jabeur,R,167,TUN,28.5,214939,,,Anna Kalinskaya,R,175,RUS,24.3,6-0 4-1 RET,3,QF,46,4,0,35,18,14,12,6,3,3,0,2,27,15,5,4,5,2,6,5,4866,70,813
2023-804,Charleston,Clay,64,P,20230403,293,202468,1,,Jessica Pegula,R,170,USA,29.1,201593,15,,Irina Camelia Begu,R,181,ROU,32.6,7-5 4-6 6-4,3,R16,150,4,1,99,51,34,24,16,6,12,4,8,92,64,36,12,16,5,12,3,5605,37,1258
2023-804,Charleston,Clay,64,P,20230403,292,211651,12,,Paula Badosa,R,180,ESP,25.3,223670,,,Diana Shnaider,L,,RUS,19.0,6-1 6-3,3,R16,82,5,1,57,36,30,8,8,4,4,1,1,52,38,21,6,8,6,10,33,1283,95,684
2023-804,Charleston,Clay,64,P,20230403,291,202505,4,,Belinda Bencic,R,175,SUI,26.0,201603,,,Shelby Rogers,R,175,USA,30.4,4-6 7-5 6-2,3,R16,163,4,4,84,51,40,16,15,3,6,4,2,104,67,38,21,15,7,12,11,3035,44,1185
2023-804,Charleston,Clay,64,P,20230403,290,206420,7,,Ekaterina Alexandrova,R,175,RUS,28.3,211814,,,Julia Grabher,R,170,AUT,26.7,6-4 6-2,3,R16,82,6,9,62,35,25,12,9,5,7,0,7,64,31,22,10,9,5,10,17,2185,89,716
2023-804,Charleston,Clay,64,P,20230403,289,201619,9,,Madison Keys,R,178,USA,28.1,202663,8,,Magda Linette,R,171,POL,31.1,6-2 3-6 6-1,3,R16,121,6,0,86,57,38,17,12,5,6,0,0,90,64,38,12,12,7,11,22,1707,19,1855
2023-804,Charleston,Clay,64,P,20230403,288,214082,3,,Daria Kasatkina,R,170,RUS,25.9,211095,,,Bernarda Pera,L,175,USA,28.3,6-3 7-6(3),3,R16,92,3,2,77,62,38,7,11,4,8,1,6,67,43,24,9,10,4,9,8,3375,38,1249
2023-804,Charleston,Clay,64,P,20230403,287,214939,,,Anna Kalinskaya,R,175,RUS,24.3,201458,6,,Victoria Azarenka,R,180,BLR,33.6,6-4 7-6(5),3,R16,119,4,2,84,56,38,14,11,4,6,2,3,78,51,31,12,11,3,6,70,813,18,2182
2023-804,Charleston,Clay,64,P,20230403,286,202460,2,,Ons Jabeur,R,167,TUN,28.5,214452,,WC,Caroline Dolehide,R,178,USA,24.5,6-3 7-5,3,R16,81,2,2,58,35,23,15,11,3,6,1,2,70,50,29,8,10,4,9,5,4866,172,383
2023-804,Charleston,Clay,64,P,20230403,285,202468,1,,Jessica Pegula,R,170,USA,29.1,215020,,,Anna Blinkova,R,179,RUS,24.5,6-2 6-0,3,R32,64,1,0,38,21,15,11,7,0,1,1,3,54,30,14,7,7,4,10,3,5605,63,891
2023-804,Charleston,Clay,64,P,20230403,284,201593,15,,Irina Camelia Begu,R,181,ROU,32.6,213550,,WC,Sofia Kenin,R,170,USA,24.3,6-1 6-4,3,R32,82,6,2,61,44,32,9,9,4,4,1,2,50,29,15,14,8,2,5,37,1258,142,466
2023-804,Charleston,Clay,64,P,20230403,283,211651,12,,Paula Badosa,R,180,ESP,25.3,220367,,,Leylah Fernandez,L,168,CAN,20.5,7-5 7-6(6),3,R32,111,4,1,69,44,33,14,12,2,4,1,7,87,54,34,18,12,7,10,33,1283,51,1050
2023-804,Charleston,Clay,64,P,20230403,282,223670,,,Diana Shnaider,L,,RUS,19.0,206368,5,,Veronika Kudermetova,R,175,RUS,25.9,6-4 6-3,3,R32,94,0,3,57,34,25,11,10,6,9,2,1,58,29,16,14,9,4,9,95,684,13,2360
2023-804,Charleston,Clay,64,P,20230403,281,202505,4,,Belinda Bencic,R,175,SUI,26.0,214684,,Q,Katherine Sebov,R,173,CAN,24.2,6-0 6-3,3,R32,61,1,0,33,21,17,11,7,0,0,0,2,45,39,19,1,8,4,9,11,3035,148,441
2023-804,Charleston,Clay,64,P,20230403,280,201603,,,Shelby Rogers,R,175,USA,30.4,216083,,,Caty Mcnally,R,,USA,21.3,6-7(4) 7-5 6-1,3,R32,171,2,0,93,57,41,20,15,4,6,2,4,121,83,51,17,16,3,9,44,1185,71,812
2023-804,Charleston,Clay,64,P,20230403,279,211814,,,Julia Grabher,R,170,AUT,26.7,203500,,Q,Sachia Vickery,R,162,USA,27.8,6-1 6-2,3,R32,78,1,1,61,47,31,8,8,4,4,1,2,44,31,17,4,7,2,6,89,716,187,348
2023-804,Charleston,Clay,64,P,20230403,278,206420,7,,Ekaterina Alexandrova,R,175,RUS,28.3,201709,,,Yulia Putintseva,R,163,KAZ,28.2,6-1 6-3,3,R32,69,7,9,63,32,24,13,8,6,8,0,0,46,30,15,2,8,2,8,17,2185,47,1155
2023-804,Charleston,Clay,64,P,20230403,277,202663,8,,Magda Linette,R,171,POL,31.1,219875,,,Varvara Gracheva,R,,FRA,22.6,6-7(3) 7-5 6-4,3,R32,176,2,2,131,80,52,28,17,6,9,3,2,105,62,39,26,17,9,14,19,1855,46,1164
2023-804,Charleston,Clay,64,P,20230403,276,201619,9,,Madison Keys,R,178,USA,28.1,221024,,Q,Hailey Baptiste,R,,USA,21.4,6-1 6-2,3,R32,69,3,1,58,31,24,15,8,6,6,0,5,39,17,12,7,7,3,7,22,1707,275,241
2023-804,Charleston,Clay,64,P,20230403,275,211095,,,Bernarda Pera,L,175,USA,28.3,213710,,,Cristina Bucsa,R,,ESP,25.2,6-3 6-4,3,R32,96,7,7,73,49,29,13,10,9,12,2,3,60,41,20,8,9,4,9,38,1249,81,753
2023-1080,Nottingham,Grass,32,I,20230612,270,220750,,LL,Daria Snigur,R,,UKR,21.2,206242,2,,Beatriz Haddad Maia,L,185,BRA,27.0,6-4 6-3,3,R32,78,0,2,50,38,23,8,9,2,4,3,3,57,39,20,8,10,3,8,157,433,10,2910
2023-822,s Hertogenbosch,Grass,32,I,20230612,300,206420,4,,Ekaterina Alexandrova,R,175,RUS,28.5,206368,1,,Veronika Kudermetova,R,175,RUS,26.1,4-6 6-4 7-6(3),3,F,172,9,8,119,76,57,17,16,9,12,10,5,113,69,49,21,16,5,8,26,1535,14,2520
2023-822,s Hertogenbosch,Grass,32,I,20230612,299,206368,1,,Veronika Kudermetova,R,175,RUS,26.1,214149,,,Viktoria Hruncakova,R,,SVK,25.0,6-3 6-2,3,SF,82,7,2,63,45,33,8,8,6,6,1,2,55,33,14,14,9,1,5,14,2520,144,477
2023-822,s Hertogenbosch,Grass,32,I,20230612,298,206420,4,,Ekaterina Alexandrova,R,175,RUS,28.5,205925,7,,Aliaksandra Sasnovich,R,174,BLR,29.2,6-1 7-6(1),3,SF,78,6,6,63,32,25,13,9,3,5,1,6,60,43,24,4,10,0,5,26,1535,71,804
2023-822,s Hertogenbosch,Grass,32,I,20230612,297,206368,1,,Veronika Kudermetova,R,175,RUS,26.1,232447,,WC,Celine Naef,R,,SUI,17.9,6-3 6-2,3,QF,75,5,2,49,30,24,11,9,2,3,0,7,55,30,19,10,8,4,8,14,2520,202,355
2023-822,s Hertogenbosch,Grass,32,I,20230612,296,214149,,,Viktoria Hruncakova,R,,SVK,25.0,221909,,,Ashlyn Krueger,R,185,USA,19.0,6-4 6-4,3,QF,77,9,0,57,33,26,17,10,0,0,3,4,64,44,32,10,10,2,4,144,477,152,445
2023-822,s Hertogenbosch,Grass,32,I,20230612,295,206420,4,,Ekaterina Alexandrova,R,175,RUS,28.5,211765,,Q,Emina Bektas,R,,USA,30.2,6-4 6-4,3,QF,74,6,4,56,30,24,14,10,1,2,5,0,60,39,25,13,10,2,5,26,1535,186,380
2023-822,s Hertogenbosch,Grass,32,I,20230612,294,205925,7,,Aliaksandra Sasnovich,R,174,BLR,29.2,214643,2,,Liudmila Samsonova,R,180,RUS,24.5,7-6(4) 3-1 RET,3,QF,98,2,3,69,48,29,12,8,2,4,3,10,59,27,20,14,8,2,5,71,804,15,2296
2023-822,s Hertogenbosch,Grass,32,I,20230612,293,206368,1,,Veronika Kudermetova,R,175,RUS,26.1,203475,,Q,Carol Zhao,R,165,CAN,27.9,6-1 6-3,3,R16,70,6,3,46,30,25,6,8,1,2,0,6,54,37,21,4,8,4,9,14,2520,163,413
2023-822,s Hertogenbosch,Grass,32,I,20230612,292,232447,,WC,Celine Naef,R,,SUI,17.9,216083,8,,Caty Mcnally,R,,USA,21.5,3-6 6-4 6-3,3,R16,124,3,1,75,53,35,10,14,5,10,1,8,104,72,43,11,14,10,16,202,355,62,901
2023-822,s Hertogenbosch,Grass,32,I,20230612,291,221909,,,Ashlyn Krueger,R,185,USA,19.0,201458,3,,Victoria Azarenka,R,180,BLR,33.8,6-3 6-2,3,R16,73,2,4,60,39,27,13,9,4,5,0,3,46,24,16,9,8,3,7,152,445,19,1967
2023-822,s Hertogenbosch,Grass,32,I,20230612,290,214149,,,Viktoria Hruncakova,R,,SVK,25.0,215370,6,,Bianca Andreescu,R,170,CAN,22.9,7-6(6) 6-3,3,R16,117,5,5,91,58,38,15,11,14,16,3,4,78,50,30,13,10,4,7,144,477,37,1202
2023-822,s Hertogenbosch,Grass,32,I,20230612,289,211765,,Q,Emina Bektas,R,,USA,30.2,203500,,LL,Sachia Vickery,R,162,USA,28.0,6-4 6-4,3,R16,82,4,1,59,42,28,9,10,1,3,3,2,56,29,19,12,10,2,6,186,380,179,387
2023-822,s Hertogenbosch,Grass,32,I,20230612,288,206420,4,,Ekaterina Alexandrova,R,175,RUS,28.5,214040,,,Kimberly Birrell,R,170,AUS,25.1,6-4 7-6(3),3,R16,90,10,5,65,36,32,17,11,0,0,4,3,64,40,33,11,11,2,3,26,1535,117,604
2023-822,s Hertogenbosch,Grass,32,I,20230612,287,205925,7,,Aliaksandra Sasnovich,R,174,BLR,29.2,213889,,,Greet Minnen,R,,BEL,25.8,6-2 4-6 6-3,3,R16,123,3,9,101,64,41,18,14,6,10,6,4,76,45,26,12,13,9,15,71,804,120,589
