tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_winner
2022-1003,Doha,Hard,64,P,20220221,268,202421,,,Alison Van Uytvanck,R,173.0,BEL,27.9,201329,,WC,Vera Zvonareva,R,172.0,RUS,37.4,6-4 6-4,3,R64,122.0,3.0,0.0,68.0,42.0,27.0,13.0,9.0,3.0,5.0,1.0,2.0,81.0,47.0,27.0,18.0,10.0,11.0,15.0,53.0,1083.0,103.0,676.0,0
2022-2050,Cluj Napoca,Hard,32,I,20221010,278,211148,,,Jasmine Paolini,R,160.0,ITA,26.7,216146,6,,Marta Kostyuk,R,175.0,UKR,20.2,5-7 6-3 6-4,3,R32,116.0,0.0,3.0,89.0,62.0,35.0,16.0,16.0,5.0,11.0,10.0,6.0,92.0,52.0,39.0,9.0,15.0,3.0,10.0,78.0,772.0,56.0,975.0,0
2023-609,Indian Wells,Hard,96,PM,20230306,258,214096,,,Karolina Muchova,R,178.0,CZE,26.5,201458,14,,Victoria Azarenka,R,180.0,BLR,33.5,7-6(1) 6-3,3,R64,125.0,5.0,4.0,74.0,46.0,29.0,14.0,10.0,3.0,6.0,0.0,6.0,95.0,62.0,37.0,11.0,11.0,4.0,9.0,76.0,791.0,14.0,2237.0,0
2023-1024,Seoul,Hard,32,I,20231009,283,214906,,,Claire Liu,R,170.0,USA,23.3,220454,,Q,Yeon Woo Ku,U,,KOR,20.5,6-3 6-3,3,R32,85.0,6.0,0.0,53.0,33.0,26.0,11.0,9.0,0.0,0.0,0.0,5.0,57.0,39.0,23.0,10.0,9.0,6.0,9.0,98.0,707.0,540.0,88.0,0
2022-2040,Cleveland,Hard,32,I,20220822,277,205925,7,,Aliaksandra Sasnovich,R,174.0,BLR,28.4,202434,,,Aleksandra Krunic,R,163.0,SRB,29.4,7-6(5) 6-1,3,R32,95.0,5.0,2.0,69.0,40.0,29.0,15.0,10.0,2.0,4.0,3.0,5.0,71.0,38.0,23.0,13.0,9.0,4.0,8.0,36.0,1341.0,97.0,652.0,0
2024-1005,Rabat,Clay,32,I,20240520,283,222296,,,Zhuoxuan Bai,R,,CHN,21.5,215037,,,Kayla Day,L,173.0,USA,24.6,6-3 7-6(4),3,R32,138.0,1.0,2.0,82.0,52.0,33.0,16.0,10.0,8.0,10.0,1.0,2.0,86.0,52.0,28.0,19.0,11.0,3.0,7.0,99.0,757.0,100.0,749.0,0
2024-466,Palermo,Clay,32,I,20240715,294,214096,2,,Karolina Muchova,R,178.0,CZE,27.8,206292,,,Astra Sharma,R,178.0,AUS,28.8,7-6(5) 7-6(6),3,QF,131.0,1.0,2.0,92.0,57.0,33.0,23.0,12.0,6.0,10.0,1.0,3.0,79.0,49.0,31.0,17.0,12.0,1.0,5.0,35.0,1618.0,151.0,497.0,0
2023-1052,Birmingham,Grass,32,I,20230619,292,222258,,,Linda Fruhvirtova,R,,CZE,18.1,211095,6,,Bernarda Pera,L,175.0,USA,28.5,6-1 7-6(3),3,R16,80.0,3.0,6.0,69.0,45.0,34.0,11.0,10.0,2.0,4.0,3.0,3.0,56.0,32.0,21.0,9.0,9.0,4.0,8.0,57.0,951.0,27.0,1514.0,0
2024-718,Dubai,Hard,64,P,20240219,255,214939,,Q,Anna Kalinskaya,R,175.0,RUS,25.2,204411,,Q,Storm Hunter,L,166.0,AUS,29.5,6-1 6-2,3,R64,57.0,3.0,0.0,50.0,41.0,31.0,5.0,8.0,4.0,4.0,2.0,1.0,38.0,27.0,11.0,6.0,7.0,2.0,6.0,40.0,1323.0,128.0,586.0,0
2024-1045,Washington,Hard,32,P,20240729,298,211651,,WC,Paula Badosa,R,180.0,ESP,26.7,214452,,,Caroline Dolehide,R,178.0,USA,25.8,6-3 6-3,3,SF,81.0,3.0,6.0,51.0,27.0,24.0,14.0,9.0,3.0,3.0,1.0,4.0,65.0,47.0,29.0,7.0,9.0,2.0,5.0,62.0,940.0,49.0,1100.0,0
2024-580,Australian Open,Hard,128,G,20240115,157,206408,,,Nadia Podoroska,R,170.0,ARG,26.9,214461,,,Tamara Zidansek,R,168.0,SLO,26.0,6-1 6-0,3,R128,75.0,1.0,0.0,47.0,31.0,22.0,10.0,7.0,4.0,4.0,0.0,3.0,58.0,36.0,19.0,5.0,6.0,8.0,13.0,65.0,1009.0,98.0,745.0,0
2022-560,Us Open,Hard,128,G,20220829,218,202460,5,,Ons Jabeur,R,167.0,TUN,28.0,206368,18,,Veronika Kudermetova,R,175.0,RUS,25.3,7-6(1) 6-4,3,R16,93.0,11.0,0.0,78.0,47.0,34.0,15.0,11.0,2.0,4.0,4.0,5.0,58.0,37.0,25.0,8.0,12.0,0.0,3.0,5.0,3920.0,18.0,2206.0,0
2022-709,Rome,Clay,64,P,20220509,274,206289,4,,Maria Sakkari,R,172.0,GRE,26.7,206420,,,Ekaterina Alexandrova,R,175.0,RUS,27.4,6-3 6-2,3,R32,78.0,6.0,4.0,58.0,35.0,27.0,10.0,9.0,1.0,2.0,0.0,3.0,46.0,21.0,11.0,12.0,8.0,2.0,6.0,4.0,4596.0,31.0,1576.0,0
